date,title,price,rating,availability,in_stock
2026-05-15,The Shining (The Shining #1),27.88,3,In stock,True
2026-05-15,The Pilgrim's Progress,50.26,2,In stock,True
2026-05-15,The Perfect Play (Play by Play #1),59.99,3,In stock,True
2026-05-15,The Passion of Dolssa,28.32,5,In stock,True
2026-05-15,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3,In stock,True
2026-05-15,The Hunger Games (The Hunger Games #1),29.85,5,In stock,True
2026-05-15,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,In stock,True
2026-05-15,The Gunning of America: Business and the Making of American Gun Culture,16.81,4,In stock,True
2026-05-15,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2,In stock,True
2026-05-15,The Demonists (Demonist #1),52.11,2,In stock,True
2026-05-15,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,In stock,True
2026-05-15,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3,In stock,True
2026-05-15,The Beast (Black Dagger Brotherhood #14),46.08,5,In stock,True
2026-05-15,Some Women,13.73,5,In stock,True
2026-05-15,Shopaholic Ties the Knot (Shopaholic #3),48.39,5,In stock,True
2026-05-15,Paper and Fire (The Great Library #2),49.45,5,In stock,True
2026-05-15,Outlander (Outlander #1),19.67,5,In stock,True
2026-05-15,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3,In stock,True
2026-05-15,No One Here Gets Out Alive,20.02,5,In stock,True
2026-05-15,Night Shift (Night Shift #1-20),12.75,4,In stock,True
2026-05-15,Needful Things,47.51,4,In stock,True
2026-05-15,Mockingjay (The Hunger Games #3),20.44,4,In stock,True
2026-05-15,Misery,34.79,2,In stock,True
2026-05-15,Little Women (Little Women #1),28.07,4,In stock,True
2026-05-15,It,25.01,3,In stock,True
2026-05-15,Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,3,In stock,True
2026-05-15,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4,In stock,True
2026-05-15,Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,In stock,True
2026-05-15,Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,In stock,True
2026-05-15,Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,In stock,True
2026-05-15,Gone with the Wind,32.49,3,In stock,True
2026-05-15,God Is Not Great: How Religion Poisons Everything,27.8,1,In stock,True
2026-05-15,Girl With a Pearl Earring,26.77,1,In stock,True
2026-05-15,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,In stock,True
2026-05-15,Far From True (Promise Falls Trilogy #2),34.93,2,In stock,True
2026-05-15,Dark Lover (Black Dagger Brotherhood #1),12.87,1,In stock,True
2026-05-15,Confessions of a Shopaholic (Shopaholic #1),48.94,2,In stock,True
2026-05-15,Changing the Game (Play by Play #2),13.38,3,In stock,True
2026-05-15,Candide,58.63,3,In stock,True
2026-05-15,Can You Keep a Secret?,21.94,1,In stock,True
2026-05-15,Atlas Shrugged,26.58,5,In stock,True
2026-05-15,Animal Farm,57.22,3,In stock,True
2026-05-15,A Walk to Remember,56.43,1,In stock,True
2026-05-15,A New Earth: Awakening to Your Life's Purpose,55.65,5,In stock,True
2026-05-15,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1,In stock,True
2026-05-15,'Salem's Lot,49.56,4,In stock,True
2026-05-15,Zero History (Blue Ant #3),34.77,1,In stock,True
2026-05-15,Wuthering Heights,17.73,3,In stock,True
2026-05-15,World War Z: An Oral History of the Zombie War,21.8,1,In stock,True
2026-05-15,Wild: From Lost to Found on the Pacific Crest Trail,46.02,3,In stock,True
2026-05-15,"Where'd You Go, Bernadette",18.13,1,In stock,True
2026-05-15,When You Are Engulfed in Flames,30.89,5,In stock,True
2026-05-15,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3,In stock,True
2026-05-15,We Are All Completely Beside Ourselves,24.04,1,In stock,True
2026-05-15,Walk the Edge (Thunder Road #2),32.36,3,In stock,True
2026-05-15,Voyager (Outlander #3),21.07,5,In stock,True
2026-05-15,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3,In stock,True
2026-05-15,Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,2,In stock,True
2026-05-15,"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1,In stock,True
2026-05-15,Under the Banner of Heaven: A Story of Violent Faith,30.0,1,In stock,True
2026-05-15,Two Boys Kissing,32.74,2,In stock,True
2026-05-15,Twilight (Twilight #1),41.93,2,In stock,True
2026-05-15,Twenties Girl,42.8,2,In stock,True
2026-05-15,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1,In stock,True
2026-05-15,Three-Martini Lunch,23.21,3,In stock,True
2026-05-15,"Thinking, Fast and Slow",21.14,1,In stock,True
2026-05-15,The Wild Robot,56.07,3,In stock,True
2026-05-15,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,In stock,True
2026-05-15,The Undomestic Goddess,45.75,4,In stock,True
2026-05-15,The Travelers,15.77,1,In stock,True
2026-05-15,The Tipping Point: How Little Things Can Make a Big Difference,10.02,2,In stock,True
2026-05-15,The Thing About Jellyfish,48.77,1,In stock,True
2026-05-15,The Stand,57.86,2,In stock,True
2026-05-15,The Smitten Kitchen Cookbook,23.59,1,In stock,True
2026-05-15,The Silkworm (Cormoran Strike #2),23.05,5,In stock,True
2026-05-15,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,In stock,True
2026-05-15,The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,In stock,True
2026-05-15,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,In stock,True
2026-05-15,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,3,In stock,True
2026-05-15,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,In stock,True
2026-05-15,The Rest Is Noise: Listening to the Twentieth Century,34.77,1,In stock,True
2026-05-15,The Red Tent,35.66,5,In stock,True
2026-05-15,The Purpose Driven Life: What on Earth Am I Here for?,37.19,3,In stock,True
2026-05-15,The Purest Hook (Second Circle Tattoos #3),12.25,1,In stock,True
2026-05-15,The Picture of Dorian Gray,29.7,2,In stock,True
2026-05-15,The Paris Wife,36.8,3,In stock,True
2026-05-15,The Obsession,45.43,1,In stock,True
2026-05-15,The Nightingale,26.26,4,In stock,True
2026-05-15,The New Guy (and Other Senior Year Distractions),44.92,3,In stock,True
2026-05-15,The Nanny Diaries (Nanny #1),52.53,5,In stock,True
2026-05-15,The Name of God is Mercy,37.25,2,In stock,True
2026-05-15,The Maze Runner (The Maze Runner #1),20.93,1,In stock,True
2026-05-15,The Lover's Dictionary,58.09,2,In stock,True
2026-05-15,The Lonely Ones,43.59,5,In stock,True
2026-05-15,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,In stock,True
2026-05-15,The Last Painting of Sara de Vos,55.55,2,In stock,True
2026-05-15,"The Land of 10,000 Madonnas",29.64,4,In stock,True
2026-05-15,The Infinities,27.41,1,In stock,True
2026-05-15,The Husband's Secret,52.51,5,In stock,True
2026-05-15,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,3,In stock,True
2026-05-15,The Guns of August,14.54,2,In stock,True
2026-05-15,The Guernsey Literary and Potato Peel Pie Society,49.53,1,In stock,True
2026-05-15,The Goldfinch,43.58,3,In stock,True
2026-05-15,The Giver (The Giver Quartet #1),12.3,1,In stock,True
2026-05-15,The Girl with All the Gifts,49.47,3,In stock,True
2026-05-15,The Girl Who Played with Fire (Millennium Trilogy #2),22.14,2,In stock,True
2026-05-15,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,1,In stock,True
2026-05-15,The Exiled,43.45,3,In stock,True
2026-05-15,"The End of Faith: Religion, Terror, and the Future of Reason",22.13,4,In stock,True
2026-05-15,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,In stock,True
2026-05-15,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5,In stock,True
2026-05-15,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1,In stock,True
2026-05-15,The Demon-Haunted World: Science as a Candle in the Dark,52.25,4,In stock,True
2026-05-15,The Day the Crayons Came Home (Crayons),26.33,5,In stock,True
2026-05-15,The Da Vinci Code (Robert Langdon #2),22.96,2,In stock,True
2026-05-15,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,True
2026-05-15,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,In stock,True
2026-05-15,The Complete Poems,41.32,5,In stock,True
2026-05-15,The Catcher in the Rye,24.55,1,In stock,True
2026-05-15,The Cat in the Hat (Beginner Books B-1),16.26,2,In stock,True
2026-05-15,The Case for Christ (Cases for Christianity),47.84,1,In stock,True
2026-05-15,The Book Thief,53.49,2,In stock,True
2026-05-15,The Book of Basketball: The NBA According to The Sports Guy,44.84,5,In stock,True
2026-05-15,The Blind Side: Evolution of a Game,53.71,5,In stock,True
2026-05-15,The Autobiography of Malcolm X,23.43,2,In stock,True
2026-05-15,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,3,In stock,True
2026-05-15,The Art of Fielding,22.1,1,In stock,True
2026-05-15,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2,In stock,True
2026-05-15,Stiff: The Curious Lives of Human Cadavers,36.74,3,In stock,True
2026-05-15,Spilled Milk: Based on a True Story,49.51,1,In stock,True
2026-05-15,Something Borrowed (Darcy & Rachel #1),48.96,5,In stock,True
2026-05-15,Something Blue (Darcy & Rachel #2),54.62,1,In stock,True
2026-05-15,Soldier (Talon #3),24.72,2,In stock,True
2026-05-15,Shopaholic & Baby (Shopaholic #5),46.45,2,In stock,True
2026-05-15,Seven Days in the Art World,52.33,2,In stock,True
2026-05-15,Seven Brief Lessons on Physics,30.6,4,In stock,True
2026-05-15,Scarlet (The Lunar Chronicles #2),14.57,4,In stock,True
2026-05-15,Sarah's Key,46.29,1,In stock,True
2026-05-15,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,In stock,True
2026-05-15,Running with Scissors,12.91,4,In stock,True
2026-05-15,Rogue Lawyer (Rogue Lawyer #1),50.11,3,In stock,True
2026-05-15,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4,In stock,True
2026-05-15,Rework,44.88,2,In stock,True
2026-05-15,Reservations for Two,11.1,3,In stock,True
2026-05-15,Red: The True Story of Red Riding Hood,28.54,3,In stock,True
2026-05-15,Ready Player One,19.07,4,In stock,True
2026-05-15,Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,1,In stock,True
2026-05-15,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,In stock,True
2026-05-15,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,In stock,True
2026-05-15,Packing for Mars: The Curious Science of Life in the Void,56.68,2,In stock,True
2026-05-15,Outliers: The Story of Success,14.16,1,In stock,True
2026-05-15,Original Fake,31.45,3,In stock,True
2026-05-15,Orange Is the New Black,24.61,2,In stock,True
2026-05-15,One for the Money (Stephanie Plum #1),32.87,2,In stock,True
2026-05-15,Notes from a Small Island (Notes From a Small Island #1),40.17,1,In stock,True
2026-05-15,Night (The Night Trilogy #1),13.51,1,In stock,True
2026-05-15,Neither Here nor There: Travels in Europe,38.95,3,In stock,True
2026-05-15,Naked,31.69,3,In stock,True
2026-05-15,Morning Star (Red Rising #3),29.4,1,In stock,True
2026-05-15,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1,In stock,True
2026-05-15,Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2,In stock,True
2026-05-15,Me Talk Pretty One Day,57.6,2,In stock,True
2026-05-15,Manuscript Found in Accra,34.98,2,In stock,True
2026-05-15,Lust & Wonder,11.87,2,In stock,True
2026-05-15,Lila (Gilead #3),12.47,3,In stock,True
2026-05-15,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,In stock,True
2026-05-15,Life Without a Recipe,59.04,5,In stock,True
2026-05-15,Life After Life,26.13,2,In stock,True
2026-05-15,Letter to a Christian Nation,22.2,1,In stock,True
2026-05-15,Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1,In stock,True
2026-05-15,Legend (Legend #1),43.69,4,In stock,True
2026-05-15,"Lean In: Women, Work, and the Will to Lead",25.02,1,In stock,True
2026-05-15,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5,In stock,True
2026-05-15,Lady Renegades (Rebel Belle #3),53.04,5,In stock,True
2026-05-15,Jurassic Park (Jurassic Park #1),44.97,1,In stock,True
2026-05-15,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1,In stock,True
2026-05-15,Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,3,In stock,True
2026-05-15,Into the Wild,56.7,5,In stock,True
2026-05-15,Inferno (Robert Langdon #4),41.0,5,In stock,True
2026-05-15,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3,In stock,True
2026-05-15,If I Run (If I Run #1),49.97,4,In stock,True
2026-05-15,I've Got Your Number,19.69,1,In stock,True
2026-05-15,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2,In stock,True
2026-05-15,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,3,In stock,True
2026-05-15,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,In stock,True
2026-05-15,House of Leaves,54.89,1,In stock,True
2026-05-15,Horrible Bear!,37.52,2,In stock,True
2026-05-15,Holidays on Ice,51.07,2,In stock,True
2026-05-15,Heir to the Sky,44.07,4,In stock,True
2026-05-15,Green Eggs and Ham (Beginner Books B-16),10.79,4,In stock,True
2026-05-15,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,In stock,True
2026-05-15,Gratitude,26.66,5,In stock,True
2026-05-15,Gone Girl,37.6,5,In stock,True
2026-05-15,Golden (Heart of Dread #3),42.21,4,In stock,True
2026-05-15,Girl in the Blue Coat,46.83,2,In stock,True
2026-05-15,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,In stock,True
2026-05-15,"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,In stock,True
2026-05-15,Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,4,In stock,True
2026-05-15,Fifty Shades Freed (Fifty Shades #3),15.36,5,In stock,True
2026-05-15,Fellside,38.62,1,In stock,True
2026-05-15,Extreme Prey (Lucas Davenport #26),25.4,3,In stock,True
2026-05-15,Eragon (The Inheritance Cycle #1),43.87,3,In stock,True
2026-05-15,Eclipse (Twilight #3),18.74,1,In stock,True
2026-05-15,Dune (Dune #1),54.86,1,In stock,True
2026-05-15,Dracula,52.62,3,In stock,True
2026-05-15,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,In stock,True
2026-05-15,Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,In stock,True
2026-05-15,Dead Wake: The Last Crossing of the Lusitania,39.24,5,In stock,True
2026-05-15,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,1,In stock,True
2026-05-15,Darkfever (Fever #1),56.02,1,In stock,True
2026-05-15,Dark Places,23.9,5,In stock,True
2026-05-15,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5,In stock,True
2026-05-15,Counting Thyme,10.62,1,In stock,True
2026-05-15,Cosmos,36.17,2,In stock,True
2026-05-15,Civilization and Its Discontents,59.95,2,In stock,True
2026-05-15,Cinder (The Lunar Chronicles #1),26.09,1,In stock,True
2026-05-15,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,2,In stock,True
2026-05-15,Career of Evil (Cormoran Strike #3),24.72,2,In stock,True
2026-05-15,Breaking Dawn (Twilight #4),35.28,5,In stock,True
2026-05-15,Brave Enough,51.32,5,In stock,True
2026-05-15,Boy Meets Boy,21.12,3,In stock,True
2026-05-15,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2,In stock,True
2026-05-15,Blink: The Power of Thinking Without Thinking,21.74,5,In stock,True
2026-05-15,Black Flags: The Rise of ISIS,40.87,1,In stock,True
2026-05-15,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,In stock,True
2026-05-15,Big Little Lies,22.11,1,In stock,True
2026-05-15,Between Shades of Gray,20.79,5,In stock,True
2026-05-15,Best of My Love (Fool's Gold #20),27.41,2,In stock,True
2026-05-15,Beowulf,38.35,2,In stock,True
2026-05-15,Beautiful Creatures (Caster Chronicles #1),21.55,5,In stock,True
2026-05-15,Awkward,38.02,2,In stock,True
2026-05-15,Ash,22.06,4,In stock,True
2026-05-15,Are We There Yet?,10.66,3,In stock,True
2026-05-15,Are We Smart Enough to Know How Smart Animals Are?,56.58,1,In stock,True
2026-05-15,Annie on My Mind,36.83,5,In stock,True
2026-05-15,And Then There Were None,35.01,2,In stock,True
2026-05-15,A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4,In stock,True
2026-05-15,A Visit from the Goon Squad,14.08,5,In stock,True
2026-05-15,A Storm of Swords (A Song of Ice and Fire #3),31.22,2,In stock,True
2026-05-15,A Heartbreaking Work of Staggering Genius,54.29,5,In stock,True
2026-05-15,8 Keys to Mental Health Through Exercise,31.04,1,In stock,True
2026-05-15,#GIRLBOSS,50.96,1,In stock,True
2026-05-15,"The Suffragettes (Little Black Classics, #96)",11.89,2,In stock,True
2026-05-15,The Sense of an Ending,31.38,3,In stock,True
2026-05-15,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,In stock,True
2026-05-15,The Course of Love,16.78,3,In stock,True
2026-05-15,Sugar Rush (Offensive Line #2),24.42,1,In stock,True
2026-05-15,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,In stock,True
2026-05-15,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,In stock,True
2026-05-15,New Moon (Twilight #2),12.86,4,In stock,True
2026-05-15,Life,31.58,5,In stock,True
2026-05-15,Kindle Paperwhite User's Guide,34.0,3,In stock,True
2026-05-15,H is for Hawk,57.42,5,In stock,True
2026-05-15,Girl Online On Tour (Girl Online #2),53.47,1,In stock,True
2026-05-15,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,In stock,True
2026-05-15,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4,In stock,True
2026-05-15,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,In stock,True
2026-05-15,While You Were Mine,41.32,5,In stock,True
2026-05-15,Where Lightning Strikes (Bleeding Stars #3),39.77,3,In stock,True
2026-05-15,When I'm Gone,51.96,3,In stock,True
2026-05-15,Ways of Seeing,39.51,5,In stock,True
2026-05-15,"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,1,In stock,True
2026-05-15,Vampire Girl (Vampire Girl #1),53.82,2,In stock,True
2026-05-15,Twenty Love Poems and a Song of Despair,30.95,4,In stock,True
2026-05-15,Travels with Charley: In Search of America,57.82,5,In stock,True
2026-05-15,Three Wishes (River of Time: California #1),44.18,2,In stock,True
2026-05-15,This One Moment (Pushing Limits #1),48.71,1,In stock,True
2026-05-15,The Zombie Room,19.69,5,In stock,True
2026-05-15,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,In stock,True
2026-05-15,The Tumor,41.56,5,In stock,True
2026-05-15,The Story of Hong Gildong,43.19,4,In stock,True
2026-05-15,The Silent Wife,12.34,5,In stock,True
2026-05-15,The Silent Twin (Detective Jennifer Knight #3),36.25,3,In stock,True
2026-05-15,The Selfish Gene,29.45,1,In stock,True
2026-05-15,The Secret Healer,34.56,3,In stock,True
2026-05-15,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,In stock,True
2026-05-15,The Republic,33.78,3,In stock,True
2026-05-15,The Odyssey,29.64,3,In stock,True
2026-05-15,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,True
2026-05-15,The Nicomachean Ethics,36.34,1,In stock,True
2026-05-15,The Name of the Wind (The Kingkiller Chronicle #1),50.59,3,In stock,True
2026-05-15,The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,1,In stock,True
2026-05-15,The Little Prince,45.42,2,In stock,True
2026-05-15,The Light of the Fireflies,54.43,1,In stock,True
2026-05-15,The Last Girl (The Dominion Trilogy #1),36.26,2,In stock,True
2026-05-15,The Iliad,16.16,1,In stock,True
2026-05-15,The Hook Up (Game On #1),36.29,5,In stock,True
2026-05-15,The Haters,27.89,5,In stock,True
2026-05-15,The Girl You Lost,12.29,5,In stock,True
2026-05-15,The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,True
2026-05-15,The End of the Jesus Era (An Investigation #1),14.4,1,In stock,True
2026-05-15,The Edge of Reason (Bridget Jones #2),19.18,4,In stock,True
2026-05-15,The Complete Maus (Maus #1-2),10.64,3,In stock,True
2026-05-15,The Communist Manifesto,14.76,3,In stock,True
2026-05-15,The Bhagavad Gita,57.49,3,In stock,True
2026-05-15,The Bette Davis Club,30.66,3,In stock,True
2026-05-15,The Art of Not Breathing,40.83,4,In stock,True
2026-05-15,Taking Shots (Assassins #1),18.88,2,In stock,True
2026-05-15,Starlark,25.83,3,In stock,True
2026-05-15,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,In stock,True
2026-05-15,Sister Sable (The Mad Queen #1),13.33,3,In stock,True
2026-05-15,Shatter Me (Shatter Me #1),42.4,1,In stock,True
2026-05-15,Shameless,58.35,3,In stock,True
2026-05-15,Shadow Rites (Jane Yellowrock #10),21.72,4,In stock,True
2026-05-15,Settling the Score (The Summer Games #1),44.91,2,In stock,True
2026-05-15,Sense and Sensibility,37.46,1,In stock,True
2026-05-15,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,In stock,True
2026-05-15,"Rhythm, Chord & Malykhin",28.34,2,In stock,True
2026-05-15,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,In stock,True
2026-05-15,Paradise Lost (Paradise #1),24.96,1,In stock,True
2026-05-15,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,In stock,True
2026-05-15,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,In stock,True
2026-05-15,Origins (Alphas 0.5),28.99,1,In stock,True
2026-05-15,One Second (Seven #7),52.94,2,In stock,True
2026-05-15,On the Road (Duluoz Legend),32.36,3,In stock,True
2026-05-15,Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2,In stock,True
2026-05-15,Off Sides (Off #1),39.45,5,In stock,True
2026-05-15,Of Mice and Men,47.11,2,In stock,True
2026-05-15,Myriad (Prentor #1),58.75,4,In stock,True
2026-05-15,My Perfect Mistake (Over the Top #1),38.92,2,In stock,True
2026-05-15,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,In stock,True
2026-05-15,Meditations,25.89,2,In stock,True
2026-05-15,Matilda,28.34,1,In stock,True
2026-05-15,Lost Among the Living,27.7,4,In stock,True
2026-05-15,Lord of the Flies,24.89,3,In stock,True
2026-05-15,Listen to Me (Fusion #1),58.99,3,In stock,True
2026-05-15,Kitchens of the Great Midwest,57.2,5,In stock,True
2026-05-15,Jane Eyre,38.43,5,In stock,True
2026-05-15,Imperfect Harmony,34.74,4,In stock,True
2026-05-15,Icing (Aces Hockey #2),40.44,4,In stock,True
2026-05-15,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,In stock,True
2026-05-15,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4,In stock,True
2026-05-15,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,In stock,True
2026-05-15,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,In stock,True
2026-05-15,Frankenstein,38.0,2,In stock,True
2026-05-15,Forever Rockers (The Rocker #12),28.8,3,In stock,True
2026-05-15,Fighting Fate (Fighting #6),39.24,3,In stock,True
2026-05-15,Emma,32.93,2,In stock,True
2026-05-15,"Eat, Pray, Love",51.32,3,In stock,True
2026-05-15,Deep Under (Walker Security #1),47.09,5,In stock,True
2026-05-15,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4,In stock,True
2026-05-15,Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3,In stock,True
2026-05-15,Charity's Cross (Charles Towne Belles #4),41.24,1,In stock,True
2026-05-15,Bright Lines,39.07,5,In stock,True
2026-05-15,Bridget Jones's Diary (Bridget Jones #1),29.82,1,In stock,True
2026-05-15,Bounty (Colorado Mountain #7),37.26,4,In stock,True
2026-05-15,Blood Defense (Samantha Brinkman #1),20.3,3,In stock,True
2026-05-15,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,In stock,True
2026-05-15,Beyond Good and Evil,43.38,1,In stock,True
2026-05-15,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,In stock,True
2026-05-15,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,In stock,True
2026-05-15,A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,True
2026-05-15,1st to Die (Women's Murder Club #1),53.98,1,In stock,True
2026-05-15,"1,000 Places to See Before You Die",26.08,5,In stock,True
2026-05-16,A Light in the Attic,51.77,3,In stock,True
2026-05-16,Tipping the Velvet,53.74,1,In stock,True
2026-05-16,Soumission,50.1,1,In stock,True
2026-05-16,Sharp Objects,47.82,4,In stock,True
2026-05-16,Sapiens: A Brief History of Humankind,54.23,5,In stock,True
2026-05-16,The Requiem Red,22.65,1,In stock,True
2026-05-16,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,True
2026-05-16,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,True
2026-05-16,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,True
2026-05-16,The Black Maria,52.15,1,In stock,True
2026-05-16,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,True
2026-05-16,Shakespeare's Sonnets,20.66,4,In stock,True
2026-05-16,Set Me Free,17.46,5,In stock,True
2026-05-16,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,True
2026-05-16,Rip it Up and Start Again,35.02,5,In stock,True
2026-05-16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,True
2026-05-16,Olio,23.88,1,In stock,True
2026-05-16,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,True
2026-05-16,Libertarianism for Beginners,51.33,2,In stock,True
2026-05-16,It's Only the Himalayas,45.17,2,In stock,True
2026-05-16,In Her Wake,12.84,1,In stock,True
2026-05-16,How Music Works,37.32,2,In stock,True
2026-05-16,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,True
